State/Territory,Primary County,St/Co FIPS Code
Alabama,Autauga,1001
Alabama,Baldwin,1003
Alabama,Barbour,1005
Alabama,Bibb,1007
Alabama,Blount,1009
Alabama,Bullock,1011
Alabama,Butler,1013
Alabama,Calhoun,1015
Alabama,Chambers,1017
Alabama,Cherokee,1019
Alabama,Chilton,1021
Alabama,Choctaw,1023
Alabama,Clarke,1025
Alabama,Clay,1027
Alabama,Cleburne,1029
Alabama,Coffee,1031
Alabama,Colbert,1033
Alabama,Conecuh,1035
Alabama,Coosa,1037
Alabama,Covington,1039
Alabama,Crenshaw,1041
Alabama,Cullman,1043
Alabama,Dale,1045
Alabama,Dallas,1047
Alabama,DeKalb,1049
Alabama,Elmore,1051
Alabama,Escambia,1053
Alabama,Etowah,1055
Alabama,Fayette,1057
Alabama,Franklin,1059
Alabama,Geneva,1061
Alabama,Greene,1063
Alabama,Hale,1065
Alabama,Henry,1067
Alabama,Houston,1069
Alabama,Jackson,1071
Alabama,Jefferson,1073
Alabama,Lamar,1075
Alabama,Lauderdale,1077
Alabama,Lawrence,1079
Alabama,Lee,1081
Alabama,Limestone,1083
Alabama,Lowndes,1085
Alabama,Macon,1087
Alabama,Madison,1089
Alabama,Marengo,1091
Alabama,Marion,1093
Alabama,Marshall,1095
Alabama,Mobile,1097
Alabama,Monroe,1099
Alabama,Montgomery,1101
Alabama,Morgan,1103
Alabama,Perry,1105
Alabama,Pickens,1107
Alabama,Pike,1109
Alabama,Randolph,1111
Alabama,Russell,1113
Alabama,Shelby,1117
Alabama,St. Clair,1115
Alabama,Sumter,1119
Alabama,Talladega,1121
Alabama,Tallapoosa,1123
Alabama,Tuscaloosa,1125
Alabama,Walker,1127
Alabama,Washington,1129
Alabama,Wilcox,1131
Alabama,Winston,1133
Arkansas,Ashley,5003
Arkansas,Chicot,5017
Arkansas,Crawford,5033
Arkansas,Franklin,5047
Arkansas,Johnson,5071
Arkansas,Little River,5081
Arkansas,Logan,5083
Arkansas,Madison,5087
Arkansas,Miller,5091
Arkansas,Newton,5101
Arkansas,Scott,5127
Arkansas,Sebastian,5131
Arkansas,Washington,5143
California,Calaveras,6009
California,Fresno,6019
California,Inyo,6027
California,Kern,6029
California,Kings,6031
California,Los Angeles,6037
California,Madera,6039
California,Mariposa,6043
California,Merced,6047
California,Mono,6051
California,Monterey,6053
California,Orange,6059
California,Riverside,6065
California,San Benito,6069
California,San Bernardino,6071
California,San Diego,6073
California,San Joaquin,6077
California,San Luis Obispo,6079
California,Santa Barbara,6083
California,Santa Clara,6085
California,Stanislaus,6099
California,Tulare,6107
California,Tuolumne,6109
California,Ventura,6111
Colorado,Baca,8009
Colorado,Elbert,8039
Colorado,Lincoln,8073
Colorado,Weld,8123
Florida,Bay,12005
Florida,Escambia,12033
Florida,Holmes,12059
Florida,Jackson,12063
Florida,Okaloosa,12091
Florida,Santa Rosa,12113
Florida,Walton,12131
Florida,Washington,12133
Georgia,Baldwin,13009
Georgia,Banks,13011
Georgia,Barrow,13013
Georgia,Bartow,13015
Georgia,Bibb,13021
Georgia,Bleckley,13023
Georgia,Butts,13035
Georgia,Carroll,13045
Georgia,Catoosa,13047
Georgia,Chattahoochee,13053
Georgia,Chattooga,13055
Georgia,Cherokee,13057
Georgia,Clarke,13059
Georgia,Clay,13061
Georgia,Clayton,13063
Georgia,Cobb,13067
Georgia,Columbia,13073
Georgia,Coweta,13077
Georgia,Crawford,13079
Georgia,Dade,13083
Georgia,Dawson,13085
Georgia,DeKalb,13089
Georgia,Dodge,13091
Georgia,Dooly,13093
Georgia,Douglas,13097
Georgia,Elbert,13105
Georgia,Fannin,13111
Georgia,Fayette,13113
Georgia,Floyd,13115
Georgia,Forsyth,13117
Georgia,Franklin,13119
Georgia,Fulton,13121
Georgia,Gilmer,13123
Georgia,Glascock,13125
Georgia,Gordon,13129
Georgia,Greene,13133
Georgia,Gwinnett,13135
Georgia,Habersham,13137
Georgia,Hall,13139
Georgia,Hancock,13141
Georgia,Haralson,13143
Georgia,Harris,13145
Georgia,Hart,13147
Georgia,Heard,13149
Georgia,Henry,13151
Georgia,Houston,13153
Georgia,Jackson,13157
Georgia,Jasper,13159
Georgia,Jefferson,13163
Georgia,Johnson,13167
Georgia,Jones,13169
Georgia,Lamar,13171
Georgia,Laurens,13175
Georgia,Lincoln,13181
Georgia,Lumpkin,13187
Georgia,Macon,13193
Georgia,Madison,13195
Georgia,Marion,13197
Georgia,McDuffie,13189
Georgia,Meriwether,13199
Georgia,Monroe,13207
Georgia,Morgan,13211
Georgia,Murray,13213
Georgia,Muscogee,13215
Georgia,Newton,13217
Georgia,Oconee,13219
Georgia,Oglethorpe,13221
Georgia,Paulding,13223
Georgia,Peach,13225
Georgia,Pickens,13227
Georgia,Pike,13231
Georgia,Polk,13233
Georgia,Pulaski,13235
Georgia,Putnam,13237
Georgia,Quitman,13239
Georgia,Rabun,13241
Georgia,Randolph,13243
Georgia,Rockdale,13247
Georgia,Schley,13249
Georgia,Spalding,13255
Georgia,Stephens,13257
Georgia,Stewart,13259
Georgia,Sumter,13261
Georgia,Talbot,13263
Georgia,Taliaferro,13265
Georgia,Taylor,13269
Georgia,Terrell,13273
Georgia,Towns,13281
Georgia,Troup,13285
Georgia,Twiggs,13289
Georgia,Union,13291
Georgia,Upson,13293
Georgia,Walker,13295
Georgia,Walton,13297
Georgia,Warren,13301
Georgia,Washington,13303
Georgia,Webster,13307
Georgia,White,13311
Georgia,Whitfield,13313
Georgia,Wilcox,13315
Georgia,Wilkes,13317
Georgia,Wilkinson,13319
Kansas,Finney,20055
Kansas,Grant,20067
Kansas,Hamilton,20075
Kansas,Haskell,20081
Kansas,Hodgeman,20083
Kansas,Kearny,20093
Kansas,Lane,20101
Kansas,Morton,20129
Kansas,Ness,20135
Kansas,Scott,20171
Kansas,Stanton,20187
Kansas,Stevens,20189
Kansas,Wichita,20203
Mississippi,Adams,28001
Mississippi,Alcorn,28003
Mississippi,Attala,28007
Mississippi,Benton,28009
Mississippi,Bolivar,28011
Mississippi,Calhoun,28013
Mississippi,Carroll,28015
Mississippi,Chickasaw,28017
Mississippi,Choctaw,28019
Mississippi,Claiborne,28021
Mississippi,Clarke,28023
Mississippi,Clay,28025
Mississippi,Coahoma,28027
Mississippi,Copiah,28029
Mississippi,Covington,28031
Mississippi,Forrest,28035
Mississippi,George,28039
Mississippi,Greene,28041
Mississippi,Grenada,28043
Mississippi,Harrison,28047
Mississippi,Hinds,28049
Mississippi,Holmes,28051
Mississippi,Humphreys,28053
Mississippi,Issaquena,28055
Mississippi,Itawamba,28057
Mississippi,Jackson,28059
Mississippi,Jasper,28061
Mississippi,Jefferson,28063
Mississippi,Jones,28067
Mississippi,Kemper,28069
Mississippi,Lafayette,28071
Mississippi,Lamar,28073
Mississippi,Lauderdale,28075
Mississippi,Leake,28079
Mississippi,Lee,28081
Mississippi,Leflore,28083
